filename,status,issues,width,height,mode,file_size_bytes,brightness_mean,contrast
1999.png,OK,nenhum,3385,1793,L,594280,232.79,55.85
2000.png,OK,nenhum,3385,1793,L,541194,233.72,54.48
2001.png,OK,nenhum,3385,1793,L,507807,234.14,53.92
2002.png,OK,nenhum,3385,1793,L,551768,233.81,54.4
2003.png,OK,nenhum,3385,1793,L,544996,233.8,54.4
2004.png,OK,nenhum,3385,1793,L,558734,233.86,54.31
2005.png,OK,nenhum,3385,1793,L,538012,234.19,53.87
2006.png,OK,nenhum,3385,1793,L,538012,234.19,53.87
2007.png,OK,nenhum,3385,1793,L,450255,235.12,52.49
2008.png,OK,nenhum,3385,1793,L,442792,235.08,52.56
2009.png,OK,nenhum,3385,1793,L,548407,233.69,54.58
2010.png,OK,nenhum,3385,1793,L,440213,234.93,52.76
2011.png,OK,nenhum,3385,1793,L,567429,232.98,55.58
2012.png,OK,nenhum,3385,1793,L,488772,234.19,53.88
2013.png,OK,nenhum,3385,1793,L,610031,232.92,55.66
2014.png,OK,nenhum,3385,1793,L,512677,234.15,53.88
2015.png,OK,nenhum,3385,1793,L,500459,234.16,53.96
2016.png,OK,nenhum,3385,1793,L,438623,235.02,52.65
2017.png,OK,nenhum,3385,1793,L,463692,235.06,52.58
2018.png,OK,nenhum,3385,1793,L,460785,235.05,52.58
2019.png,OK,nenhum,3385,1793,L,460785,235.05,52.58
2020.png,OK,nenhum,3385,1793,L,451600,235.13,52.47
2021.png,OK,nenhum,3385,1793,L,469798,235.0,52.66
2022.png,OK,nenhum,3385,1793,L,464911,234.99,52.67
2023.png,OK,nenhum,3385,1793,L,456006,235.13,52.45
2024.png,OK,nenhum,3385,1793,L,540267,233.83,54.41
2025.png,OK,nenhum,3385,1793,L,530742,233.97,54.2
2026.png,OK,nenhum,3385,1793,L,586045,233.28,55.14
2027.png,OK,nenhum,3385,1793,L,556557,233.79,54.41
2028.png,OK,nenhum,3385,1793,L,549272,233.79,54.45
2029.png,OK,nenhum,3385,1793,L,534793,233.99,54.16
2030.png,OK,nenhum,3385,1793,L,501005,234.72,53.11
2031.png,OK,nenhum,3385,1793,L,589489,232.97,55.64
2032.png,OK,nenhum,3385,1793,L,497337,234.72,53.13
2033.png,OK,nenhum,3385,1793,L,612632,231.5,57.76
2034.png,OK,nenhum,3385,1793,L,612632,231.5,57.76
2035.png,OK,nenhum,3385,1793,L,612632,231.5,57.76
2036.png,OK,nenhum,3385,1793,L,523539,233.18,55.39
2037.png,OK,nenhum,3385,1793,L,521472,233.37,55.0
2038.png,OK,nenhum,3385,1793,L,525976,234.16,53.93
2039.png,OK,nenhum,3385,1793,L,571371,232.49,56.31
2040.png,OK,nenhum,3385,1793,L,524320,233.24,55.34
2041.png,OK,nenhum,3385,1793,L,460941,234.85,52.91
2042.png,OK,nenhum,3385,1793,L,518777,234.2,53.86
2043.png,OK,nenhum,3385,1793,L,512118,234.51,53.4
2044.png,OK,nenhum,3385,1793,L,532663,234.24,53.83
2045.png,OK,nenhum,3385,1793,L,543561,233.36,55.05
2046.png,OK,nenhum,3385,1793,L,547521,233.55,54.77
2047.png,OK,nenhum,3385,1793,L,710366,230.47,59.06
2048.png,OK,nenhum,3385,1793,L,599904,233.07,55.54
2049.png,OK,nenhum,3385,1793,L,582089,233.34,55.2
2050.png,OK,nenhum,3385,1793,L,541849,234.13,54.0
2051.png,OK,nenhum,3385,1793,L,541849,234.13,54.0
2052.png,OK,nenhum,3385,1793,L,562910,233.49,54.89
2053.png,OK,nenhum,3385,1793,L,562910,233.49,54.89
2054.png,OK,nenhum,3385,1793,L,542565,233.62,54.68
2055.png,OK,nenhum,3385,1793,L,604638,232.65,56.02
2056.png,OK,nenhum,3385,1793,L,514773,233.86,54.38
2057.png,OK,nenhum,3385,1793,L,514773,233.86,54.38
2058.png,OK,nenhum,3385,1793,L,500705,234.03,54.18
2059.png,OK,nenhum,3385,1793,L,495004,234.75,53.04
2060.png,OK,nenhum,3385,1793,L,458770,234.86,52.86
2061.png,OK,nenhum,3385,1793,L,825598,228.91,60.66
2062.png,OK,nenhum,3385,1793,L,536121,233.57,54.69
2063.png,OK,nenhum,3385,1793,L,536121,233.57,54.69
2064.png,OK,nenhum,3385,1793,L,607213,232.78,55.83
2065.png,OK,nenhum,3385,1793,L,432633,235.11,52.5
2066.png,OK,nenhum,3385,1793,L,505424,233.99,54.18
2067.png,OK,nenhum,3385,1793,L,464081,234.79,52.96
2068.png,OK,nenhum,3385,1793,L,538173,233.88,54.3
2069.png,OK,nenhum,3385,1793,L,493151,234.61,53.26
2070.png,OK,nenhum,3385,1793,L,583631,233.32,55.04
2071.png,OK,nenhum,3385,1793,L,504205,234.29,53.7
2072.png,OK,nenhum,3385,1793,L,504205,234.29,53.7
2073.png,OK,nenhum,3385,1793,L,580859,233.35,54.98
2074.png,OK,nenhum,3385,1793,L,534346,233.96,54.17
2075.png,OK,nenhum,3385,1793,L,581368,233.46,54.9
2076.png,OK,nenhum,3385,1793,L,581368,233.46,54.9
2077.png,OK,nenhum,3385,1793,L,532792,234.08,54.0
2078.png,OK,nenhum,3385,1793,L,523510,233.97,54.17
2079.png,OK,nenhum,3385,1793,L,461450,234.53,53.33
2080.png,OK,nenhum,3385,1793,L,455019,234.51,53.39
2081.png,OK,nenhum,3385,1793,L,468461,234.43,53.48
2082.png,OK,nenhum,3385,1793,L,468461,234.43,53.48
2083.png,OK,nenhum,3385,1793,L,550188,233.87,54.35
2085.png,OK,nenhum,3385,1793,L,514048,234.2,53.82
2086.png,OK,nenhum,3385,1793,L,469829,234.78,52.96
2087.png,OK,nenhum,3385,1793,L,469829,234.78,52.96
2088.png,OK,nenhum,3385,1793,L,469829,234.78,52.96
2089.png,OK,nenhum,3385,1793,L,509339,234.46,53.42
2090.png,OK,nenhum,3385,1793,L,425893,235.05,52.61
2091.png,OK,nenhum,3385,1793,L,448679,234.83,52.95
2092.png,OK,nenhum,3385,1793,L,473593,234.78,53.01
2093.png,OK,nenhum,3385,1793,L,473593,234.78,53.01
2094.png,OK,nenhum,3385,1793,L,498446,234.68,53.11
